acq_date,fire_count,mean_frp,soil_temp_level_1,soil_moisture_level_1
2018-10-15,7,11.104285714285714,,
2018-10-16,2,4.155,,
2018-10-18,2,9.795,,
2018-10-19,6,3.295,,
2018-10-20,2,0.8200000000000001,,
2018-10-21,2,4.800000000000001,,
2018-10-25,3,1.6766666666666667,,
2018-10-26,6,11.116666666666667,,
2018-10-27,5,17.008,,
2018-10-28,8,10.48625,,
2018-10-29,2,80.865,,
2018-10-31,6,8.24,,
2018-11-01,4,6.6275,,
2018-11-02,7,3.762857142857143,,
2018-11-03,1,3.8,,
2018-11-04,4,1.3425,,
2018-11-05,3,3.643333333333333,,
2018-11-06,5,1.918,,
2018-11-07,6,16.886666666666667,,
2018-11-08,3,4.74,,
2018-11-09,14,6.214285714285714,,
2018-11-10,4,2.63,,
2018-11-12,2,6.795,,
2018-11-13,11,11.26,,
2018-11-14,17,21.15058823529412,,
2018-11-15,28,8.097857142857142,,
2018-11-16,7,5.155714285714287,,
2018-11-17,12,3.4091666666666662,,
2018-11-19,6,11.674999999999999,,
2018-11-20,15,5.522,,
2018-11-21,10,2.428,,
2018-11-22,2,1.755,,
2018-11-23,7,4.225714285714285,,
2018-11-24,9,9.596666666666668,,
2018-11-25,2,2.4050000000000002,,
2018-11-26,5,20.887999999999998,,
2018-11-27,18,19.200555555555557,,
2018-11-28,11,7.393636363636364,,
2018-11-29,23,7.252608695652174,,
2018-11-30,9,3.4722222222222223,,
2018-12-01,2,1.095,,
2018-12-02,1,0.71,,
2018-12-04,4,10.74,,
2018-12-05,9,11.418888888888889,,
2018-12-07,15,3.562,,
2018-12-08,1,11.39,,
2018-12-09,1,3.24,,
2018-12-10,8,26.99875,,
2018-12-11,13,17.696153846153848,,
2018-12-12,6,5.21,,
2018-12-13,19,6.433684210526316,,
2018-12-14,7,5.505714285714285,,
2018-12-16,3,2.183333333333333,,
2018-12-17,2,0.9950000000000001,,
2018-12-18,1,3.61,,
2018-12-19,2,1.6,,
2018-12-20,2,2.2649999999999997,,
2018-12-21,1,1.89,,
2018-12-22,1,1.04,,
2018-12-23,2,1.9900000000000002,,
2018-12-24,1,4.27,,
2018-12-25,1,3.14,,
2018-12-28,1,3.67,,
2018-12-30,1,3.55,,
2019-01-02,1,3.06,,
2019-01-04,3,1.3499999999999999,,
2019-01-05,4,5.664999999999999,,
2019-01-07,3,1.2133333333333334,,
2019-01-08,5,12.61,,
2019-01-13,6,1.74,,
2019-01-14,4,6.2425,,
2019-01-15,3,1.78,,
2019-01-17,1,0.82,,
2019-01-18,4,0.9275,,
2019-01-19,4,4.8025,,
2019-01-24,1,11.86,,
2019-01-26,1,5.24,,
2019-01-27,1,2.31,,
2019-01-29,4,4.0075,,
2019-01-30,5,7.523999999999999,,
2019-01-31,9,15.07888888888889,,
2019-02-01,4,16.8625,,
2019-02-02,8,7.2387500000000005,,
2019-02-04,8,3.8175,,
2019-02-05,12,7.195833333333334,,
2019-02-08,10,12.501999999999999,,
2019-02-10,3,4.613333333333333,,
2019-02-11,11,18.80545454545455,,
2019-02-12,1,1.89,,
